date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
1994-03-15,Tamil Nadu,Chennai,Chennai,13.083333,80.283333,oil and fats,Oil (mustard),KG,actual,Retail,INR,36.0,1.1476
1994-03-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,cereals and tubers,Rice,KG,actual,Retail,INR,7.0,0.2231
1994-03-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,cereals and tubers,Wheat,KG,actual,Retail,INR,7.0,0.2231
1994-03-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4303
1994-03-15,Telangana,Hyderabad,Hyderabad,17.375278,78.474444,oil and fats,Oil (mustard),KG,actual,Retail,INR,36.0,1.1476
1994-03-15,Tripura,West Tripura,Agartala,23.836389,91.275,miscellaneous food,Sugar,KG,actual,Retail,INR,15.0,0.4782
1994-03-15,Tripura,West Tripura,Agartala,23.836389,91.275,oil and fats,Oil (mustard),KG,actual,Retail,INR,38.0,1.2113
1994-03-15,Uttar Pradesh,Lucknow,Lucknow,26.85,80.916667,cereals and tubers,Rice,KG,actual,Retail,INR,6.0,0.1913
1994-03-15,Uttar Pradesh,Lucknow,Lucknow,26.85,80.916667,cereals and tubers,Wheat,KG,actual,Retail,INR,5.25,0.1674
1994-03-15,Uttar Pradesh,Lucknow,Lucknow,26.85,80.916667,miscellaneous food,Sugar,KG,actual,Retail,INR,13.5,0.4303
1994-03-15,Uttar Pradesh,Lucknow,Lucknow,26.85,80.916667,oil and fats,Oil (mustard),KG,actual,Retail,INR,28.0,0.8926
1994-03-15,West Bengal,Kolkata,Kolkata,22.569722,88.369722,cereals and tubers,Rice,KG,actual,Retail,INR,6.8,0.2168
1994-03-15,West Bengal,Kolkata,Kolkata,22.569722,88.369722,miscellaneous food,Sugar,KG,actual,Retail,INR,13.4,0.4272
1994-03-15,West Bengal,Kolkata,Kolkata,22.569722,88.369722,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.9882
1994-04-15,Delhi,Delhi,Delhi,28.666667,77.216667,cereals and tubers,Rice,KG,actual,Retail,INR,8.5,0.271
1994-04-15,Delhi,Delhi,Delhi,28.666667,77.216667,cereals and tubers,Wheat,KG,actual,Retail,INR,5.0,0.1594
1994-04-15,Delhi,Delhi,Delhi,28.666667,77.216667,miscellaneous food,Sugar,KG,actual,Retail,INR,14.5,0.4622
1994-04-15,Delhi,Delhi,Delhi,28.666667,77.216667,oil and fats,Oil (mustard),KG,actual,Retail,INR,31.0,0.9882
1994-04-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,cereals and tubers,Rice,KG,actual,Retail,INR,7.25,0.2311
1994-04-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,cereals and tubers,Wheat,KG,actual,Retail,INR,6.5,0.2072
1994-04-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,miscellaneous food,Sugar,KG,actual,Retail,INR,14.5,0.4622
1994-04-15,Gujarat,Ahmadabad,Ahmedabad,23.033333,72.616667,oil and fats,Oil (mustard),KG,actual,Retail,INR,32.0,1.0201
1994-04-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,cereals and tubers,Rice,KG,actual,Retail,INR,9.0,0.2869
1994-04-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,miscellaneous food,Sugar,KG,actual,Retail,INR,15.0,0.4782
1994-04-15,Himachal Pradesh,Shimla,Shimla,31.103333,77.172222,oil and fats,Oil (mustard),KG,actual,Retail,INR,38.0,1.2113
1994-04-15,Karnataka,Bangalore Urban,Bengaluru,12.962299,77.576943,cereals and tubers,Wheat,KG,actual,Retail,INR,6.5,0.2072
1994-04-15,Karnataka,Bangalore Urban,Bengaluru,12.962299,77.576943,miscellaneous food,Sugar,KG,actual,Retail,INR,14.7,0.4686
